"Symbol","Name","Price..Intraday.","Change","X..Change","Volume","Avg.Vol..3.month.","Market.Cap","PE.Ratio..TTM.","X52.Week.Range"
"S.BK","Singha Estate Public Company Limited",1.93,0,"0.00%","2.263M","2.914M",1.3228e+13,"64.33",NA
"CCET.BK","Cal-Comp Electronics (Thailand) Public Company Limited",2.38,0.02,"+0.85%","484,689","2.863M",1.2819e+13,"34.00",NA
"COTTO.BK","SCG Ceramics Public Company Limited",2.12,-0.02,"-0.93%","1.51M","2.869M",1.2641e+13,"21.20",NA
"AIRA.BK","AIRA Capital Public Company Limited",2,0,"0.00%","30,500","179,940",1.263e+13,"200.00",NA
"SSP.BK","Sermsang Power Corporation Public Company Limited",10.1,-0.1,"-0.98%","1.692M","2.397M",1.2614e+13,"8.71",NA
"BBIK.BK","Bluebik Group Public Company Limited",125.5,0,"0.00%","81,713","452,321",1.255e+13,"105.46",NA
"ROJNA.BK","Rojana Industrial Park Public Company Limited",6.15,0.05,"+0.82%","444,440","1.365M",1.2426e+13,"16.18",NA
"HENG.BK","Heng Leasing and Capital Public Company Limited",3.16,0,"0.00%","7.392M","8.258M",1.204e+13,"28.73",NA
"NER.BK","North East Rubber Public Company Limited",6.4,0,"0.00%","2.49M","7.646M",1.1826e+13,"5.66",NA
"AH.BK","AAPICO Hitech Public Company Limited",33,0.5,"+1.54%","1.097M","3.113M",1.171e+13,"7.59",NA
"III.BK","Triple i Logistics Public Company Limited",15.4,0,"0.00%","1.85M","3.868M",1.1376e+13,"22.32",NA
"BAREIT.BK","BA Airport Leasehold Real Estate Investment Trust",10.9,0.2,"+1.87%","3.049M","919,937",1.126e+13,"N/A",NA
"ASIAN.BK","Asian Sea Corporation Public Company Limited",13.8,-0.1,"-0.72%","796,173","3.18M",1.1234e+13,"11.04",NA
"SKY.BK","Sky ICT Public Company Limited",17.8,0.4,"+2.30%","8.08M","3.22M",1.1112e+13,"77.39",NA
"SAUCE.BK","Thaitheparos Public Company Limited",30.75,0.25,"+0.82%","2,361","10,091",1.107e+13,"18.20",NA
"CMR.BK","Chiang Mai Ram Medical Business Public Company Limited",2.74,-0.02,"-0.72%","196,600","503,285",1.1023e+13,"19.57",NA
"NINE.BK","Nation International Edutainment Public Company Limited",6.85,-0.15,"-2.14%","28,201","43,203",1.0888e+13,"N/A",NA
"ITD.BK","Italian-Thai Development Public Company Limited",2.06,0.02,"+0.98%","18.308M","12.817M",1.0877e+13,"N/A",NA
"FSMART.BK","Forth Smart Service Public Company Limited",14.3,0.1,"+0.70%","1.752M","4.282M",1.077e+13,"32.50",NA
"PLAT.BK","The Platinum Group Public Company Limited",3.8,0.02,"+0.53%","1.056M","1.737M",1.064e+13,"N/A",NA
"CHAYO.BK","Chayo Group Public Company Limited",9.7,0.2,"+2.11%","4.871M","3.389M",1.0603e+13,"51.05",NA
"UTP.BK","United Paper Public Company Limited",16.2,0.1,"+0.62%","127,206","319,029",1.053e+13,"11.41",NA
"DUSIT.BK","Dusit Thani Public Company Limited",12.3,0,"0.00%","885,836","359,054",1.0397e+13,"N/A",NA
